"inventory_row_number","finding_identity_digest","path","symbol","method","operation","table","source_span","live_source_sha256","source_digest_match","writer_kind"
"79","628a9cd6b2c9ebe05f4c6cadc2963ad3d2a4c91b31f3b9bac02f208cc54b842f","infrastructure/mysql/client_receipt_reconciliation_repository.py","_insert_allocation","execute","INSERT","client_ledger_obligation_allocations","527-535","7d15279a53bfa55dd38581c8e5ca9f98b0a3df92b44a6f4ec22fb1b67074a280","True","static_sql_mutation"
"80","a4155eefe67fcc823a5919f75df95c1b0b717415f3a922a08c69f0bf8e4b8187","infrastructure/mysql/client_receipt_reconciliation_repository.py","_insert_ledger_entry","execute","INSERT","client_ledger_entries","493-505","7d15279a53bfa55dd38581c8e5ca9f98b0a3df92b44a6f4ec22fb1b67074a280","True","static_sql_mutation"
"81","4730d983774448acb0cd94a1d6de10f4603af8ccbefae73efbcbde9c7913a64e","infrastructure/mysql/client_receipt_reconciliation_repository.py","_load_account_version","execute","INSERT","unknown","311-315","7d15279a53bfa55dd38581c8e5ca9f98b0a3df92b44a6f4ec22fb1b67074a280","True","static_sql_mutation"
"82","3492463d9bfa79817df8a210bdf12a84c9c5d2809a9aa2b605a9ebf66c67b754","infrastructure/mysql/client_receipt_reconciliation_repository.py","_mark_bank_row_reconciled","execute","UPDATE","finance_import_rows","513-518","7d15279a53bfa55dd38581c8e5ca9f98b0a3df92b44a6f4ec22fb1b67074a280","True","static_sql_mutation"
"83","ee41751d23596f922d57d235c5cce031db8ca24bd80bf8dd36f356419f1cbaf1","infrastructure/mysql/client_receipt_reconciliation_repository.py","_settle_selected_obligations","execute","UPDATE","client_obligations","576-587","7d15279a53bfa55dd38581c8e5ca9f98b0a3df92b44a6f4ec22fb1b67074a280","True","static_sql_mutation"
"84","adaae25db77c1caad670e1c9133e240a66c730d73f556dbd10b6d5d80092e397","infrastructure/mysql/client_refund_reversal_repository.py","ClientRefundReversalMySqlUnitOfWork.commit","commit","COMMIT","-","45-45","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","transaction_boundary"
"85","6e9cb04901afd249dc18aa82e556b19c69a956cd871e076d49ba51f833295657","infrastructure/mysql/client_refund_reversal_repository.py","MySqlClientRefundReversalRepository._claim_refund_row","execute","UPDATE","finance_import_rows","211-216","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"86","2763d7b909277c2ac8d8ec178b874fada17dcd4e9e4efed77c545047b5089e8c","infrastructure/mysql/client_refund_reversal_repository.py","MySqlClientRefundReversalRepository.append_outbox","execute","INSERT","client_finance_outbox","122-129","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"87","3aea92eee2865c3047cb8526d9038f2a227e2c40c4d10e8dffa94f4e95b326b0","infrastructure/mysql/client_refund_reversal_repository.py","MySqlClientRefundReversalRepository.save_receipt","execute","INSERT","client_refund_reversal_apply_receipts","135-146","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"88","2a666435aeb2becd1faf81cbafaa6bb0b9c022651a2f567b76ec5c381ef60980","infrastructure/mysql/client_refund_reversal_repository.py","_advance_account_version","execute","UPDATE","client_finance_accounts","521-529","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"89","d3a9f7bf60dd571cde940d54d4415faf5d4d2004403350f903170421b774ee45","infrastructure/mysql/client_refund_reversal_repository.py","_insert_allocation","execute","INSERT","client_ledger_obligation_allocations","464-472","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"90","e269a9bec88a4f69e4549e00bb6387da1427c92acb6931c812fd7bcba5d6952f","infrastructure/mysql/client_refund_reversal_repository.py","_insert_ledger_entry","execute","INSERT","client_ledger_entries","439-453","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"91","cfc856cf4943bb9961c2e386d7893617dbf0de38b55998b1b5a8968c0d87f68e","infrastructure/mysql/client_refund_reversal_repository.py","_load_account_version","execute","INSERT","unknown","245-249","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"92","02a2399f4895a777f3f886ae3b6798453d979dad99a9bac2722215c3a814353d","infrastructure/mysql/client_refund_reversal_repository.py","_reopen_receivable_obligations","execute","UPDATE","client_obligations","509-515","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"93","721e7386387a7742573e921c99a4cf090cdf2746c245554f5fd2bdb35869d477","infrastructure/mysql/client_refund_reversal_repository.py","_settle_refund_obligations","execute","UPDATE","client_obligations","495-501","ad56d1657a03bd6a22d8af8f462055493ddee689c4e2829cd6292ffa8014d2e4","True","static_sql_mutation"
"94","9c1efeb8977f597ec3069c8f1d8e952f36d3fae27260be2cfc9718142555ff53","infrastructure/mysql/finance_import_repository.py","FinanceImportMySqlUnitOfWork.commit","commit","COMMIT","-","52-52","b462bf87328e5d9a184274314331e6dabb94e382e17c1bb7592ba335832a797e","True","transaction_boundary"
"95","5effc1267377f3509ae55575a17fc1d9569eaf16d6a353ce600c2a7cbe1f7dca","infrastructure/mysql/finance_import_repository.py","MySqlFinanceImportRepository._insert_outbox","execute","INSERT","finance_import_outbox","240-248","b462bf87328e5d9a184274314331e6dabb94e382e17c1bb7592ba335832a797e","True","static_sql_mutation"
"96","1c966420f2ab10f5e17cccef7201864b1ca7c9da72d1a9b37b1c41f02d67c001","infrastructure/mysql/finance_import_repository.py","MySqlFinanceImportRepository.advance_batch_version","execute","UPDATE","finance_import_batch_contracts","129-136","b462bf87328e5d9a184274314331e6dabb94e382e17c1bb7592ba335832a797e","True","static_sql_mutation"
"97","bfb4c75e6cbe37a4f1ffb4d9d42c044ffcf7f1a8ed391f06249efd6d6018e93f","infrastructure/mysql/finance_import_repository.py","MySqlFinanceImportRepository.append_dispatch_audit","execute","INSERT","finance_import_dispatch_events","88-97","b462bf87328e5d9a184274314331e6dabb94e382e17c1bb7592ba335832a797e","True","static_sql_mutation"
"98","72b59e60a9f1b9106ea87f220cb9cbce97837a27684b9a700d1a58852b1f1f95","infrastructure/mysql/finance_import_repository.py","MySqlFinanceImportRepository.append_manual_classification","execute","INSERT","finance_import_classification_events","167-186","b462bf87328e5d9a184274314331e6dabb94e382e17c1bb7592ba335832a797e","True","static_sql_mutation"
"99","1db6af87a63db85e7d358d9b2f31cc48ecd3a25256608f0781f0ab159deb3fa7","infrastructure/mysql/finance_import_repository.py","MySqlFinanceImportRepository.append_reconciliation_receipt","execute","INSERT","finance_import_reconciliation_receipts","190-199","b462bf87328e5d9a184274314331e6dabb94e382e17c1bb7592ba335832a797e","True","static_sql_mutation"
"100","5ba6c6821139941989afe0dd40620e89fe4c63bc411dda195bb662f0d573840f","infrastructure/mysql/finance_import_repository.py","MySqlFinanceImportRepository.save_correction_receipt","execute","INSERT","finance_import_correction_receipts","227-236","b462bf87328e5d9a184274314331e6dabb94e382e17c1bb7592ba335832a797e","True","static_sql_mutation"
